"Username","Code"
"w.introstat21","ID0045"
"w.introstat22","ID0047"
"w.introstat23","ID0090"
"w.introstat24","ID0055"
"w.introstat25","ID0091"
"w.introstat26","ID0008"
"w.introstat27","ID0053"
"w.introstat28","ID0049"
"w.introstat29","ID0072"
"w.introstat30","ID0030"
"w.introstat31","ID0092"
"w.introstat32","ID0048"
"w.introstat33","ID0036"
"w.introstat34","ID0018"
"w.introstat35","ID0095"
"w.introstat36","ID0069"
"w.introstat37","ID0100"
"w.introstat38","ID0020"
"w.introstat39","ID0035"
"w.introstat40","ID0074"
"w.introstat41","ID0028"
"w.introstat42","ID0021"
"w.introstat43","ID0056"
"w.introstat44","ID0073"
"w.introstat45","ID0086"
"w.introstat46","ID0013"
"w.introstat47","ID0017"
"w.introstat48","ID0007"
"w.introstat49","ID0010"
"w.introStat50","ID0061"
"w.introStat51","ID0063"
"w.introStat52","ID0029"
"w.introStat53","ID0002"
"w.introStat54","ID0051"
"w.introStat55","ID0046"
"w.introStat56","ID0087"
"w.introStat57","ID0022"
"w.introStat58","ID0085"
"w.introStat59","ID0011"
"w.introstat60","ID0009"
"w.introstat61","ID0031"
"w.introstat62","ID0064"
"w.introstat63","ID0060"
"w.introstat64","ID0025"
"w.introstat65","ID0088"
"w.introstat66","ID0032"
"w.introstat67","ID0037"
"w.introstat68","ID0057"
"w.introstat69","ID0084"
"w.introstat70","ID0034"
"w.introstat71","ID0075"
"w.introstat72","ID0062"
"w.introstat73","ID0043"
"w.introstat74","ID0044"
"w.introstat75","ID0015"
"w.introstat76","ID0023"
"w.introstat77","ID0054"
"w.introstat78","ID0096"
"w.introstat79","ID0076"
"w.introstat80","ID0019"
"w.introstat81","ID0070"
"w.introstat82","ID0004"
"w.introstat83","ID0001"
"w.introstat84","ID0039"
"w.introstat85","ID0068"
"w.introstat86","ID0026"
"w.introstat87","ID0083"
"w.introstat88","ID0094"
"w.introstat89","ID0006"
"w.introstat90","ID0027"
"w.introstat91","ID0080"
"w.introstat92","ID0099"
"w.introstat93","ID0093"
"w.introstat94","ID0038"
"w.introstat95","ID0077"
"w.introstat96","ID0081"
"w.introstat97","ID0071"
"w.introstat98","ID0014"
"w.introstat99","ID0050"
"w.introstat100","ID0058"
"w.introstat101","ID0082"
"w.introstat102","ID0067"
"w.introstat103","ID0065"
"w.introstat104","ID0079"
"w.introstat105","ID0003"
"w.introstat106","ID0024"
"w.introstat107","ID0040"
"w.introstat108","ID0052"
"w.introstat109","ID0012"
"w.introstat110","ID0033"
"w.introstat111","ID0005"
"w.introstat112","ID0041"
"w.introstat113","ID0059"
"w.introstat114","ID0066"
"w.introstat115","ID0089"
"w.introstat116","ID0016"
"w.introstat117","ID0098"
"w.introstat118","ID0078"
"w.introstat119","ID0097"
"w.introstat120","ID0042"
